team_id,player_id,player_name,shirt_number,position,mins_played,accurateBackZonePass,accurateChippedPass,accurateFwdZonePass,accurateGoalKicks,accurateKeeperSweeper,accurateKeeperThrows,accurateLaunches,accurateLongBalls,accuratePass,aerialWon,attemptsConcededIbox,attemptsConcededObox,ballRecovery,bigChanceSaves,carries,diveSave,divingSave,duelWon,effectiveClearance,finalThirdEntries,fwdPass,gameStarted,goalKicks,goalsConceded,goalsConcededIbox,keeperPickUp,keeperThrows,leftsidePass,longPassOwnToOpp,longPassOwnToOppSuccess,lostCorners,minsPlayed,openPlayPass,passesLeft,passesRight,possLostAll,possLostCtrl,progressiveCarries,punches,rightsidePass,savedIbox,savedObox,saves,standSave,successfulFinalThirdPasses,successfulOpenPlayPass,totalBackZonePass,totalChippedPass,totalClearance,totalFinalThirdPasses,totalFwdZonePass,totalKeeperSweeper,totalLaunches,totalLongBalls,totalPass,touches,winningGoal,timesTackled,formationPlace,accurateThrows,attemptedTackleFoul,blockedPass,challengeLost,crosses18yard,duelLost,fouls,headPass,interception,interceptionWon,penAreaEntries,possWonAtt3rd,possWonMid3rd,putThrough,successfulPutThrough,totalCross,totalCrossNocorner,totalSubOff,totalTackle,totalThrows,touchesInFinalThird,turnover,unsuccessfulTouch,wonCorners,wonTackle,aerialLost,attOboxTarget,attObxCentre,attOpenplay,attRfTarget,attRfTotal,attSvLowCentre,attemptsObox,backwardPass,effectiveHeadClearance,headClearance,offsideProvoked,ontargetScoringAtt,outfielderBlock,possWonDef3rd,totalScoringAtt,touchesInOppBox,yellowCard,totalContest,wonContest,blockedCross,effectiveBlockedCross,shieldBallOop,accurateCross,accurateCrossNocorner,accurateLayoffs,attBxLeft,attBxRight,attFastbreak,attGoalHighLeft,attIboxGoal,attIboxTarget,attRfGoal,attSvLowLeft,attemptsIbox,bigChanceCreated,bigChanceScored,crosses18yardplus,errorLeadToShot,goalAssist,goalAssistIntentional,goalAssistOpenplay,goals,goalsOpenplay,ontargetAttAssist,shotFastbreak,totalAttAssist,totalFastbreak,totalFlickOn,totalLayoffs,totalPullBack,accurateFreekickCross,attAssistOpenplay,attBxCentre,attHdTarget,attHdTotal,cornerTaken,freekickCross,redCard,totalCornersIntobox,wasFouled,attCorner,attLfTarget,attLfTotal,attSvHighCentre,fouledFinalThird,totalOffside,attCmissLeft,attGoalLowLeft,attHdMiss,attIboxMiss,attLfGoal,attMissLeft,bigChanceMissed,dispossessed,overrun,shotOffTarget,accurateFlickOn,totalSubOn,offtargetAttAssist,totalHighClaim,attCmissRight,attMissRight,clearanceOffLine,attHdPost,attIboxPost,attOboxBlocked,attPostHigh,blockedScoringAtt,hitWoodwork,postScoringAtt,attMissHigh,attIboxBlocked,attOboxMiss,totalThroughBall,attPostLeft,attSvHighRight,accurateThroughBall,attFreekickMiss,attFreekickTotal,attMissHighLeft,attSvLowRight,accuratePullBack,attHdGoal
63f5h8t5e9qm1fqmvfkb23ghh,aka2yqxmqpioxc1qzkl62ejv8,Pablo Marín,28,Substitute,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63f5h8t5e9qm1fqmvfkb23ghh,bj929w5yi7lnz36jxsi5qnq7e,Aihen Muñoz,3,Substitute,21,,,2,,,,,,1,,4,2,1,,,,,2,2,2,1,,,1,1,,,,,,,21,1,2,,3,3,,,,,,,,1,1,,,2,1,3,,,,1,12,0,0,0,2,,1,1,2,2,1,1,,,2,1,,2,1,2,2,,2,3,4,1,1,1,2,,,,,,,,,,1,1,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,1,,1,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,
63f5h8t5e9qm1fqmvfkb23ghh,1fcmd6qaiira468e8mph4sis4,J. Ochieng,47,Substitute,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63f5h8t5e9qm1fqmvfkb23ghh,5nluxvc0wi0u1d5zcy7be5rkl,Álvaro Odriozola,20,Substitute,32,1,,3,,,,,,3,,5,2,,,1,,,1,,2,2,,,1,1,,,,,,,32,4,,2,4,4,,,,,,,,2,3,1,,,3,4,,,,4,13,0,0,0,4,1,,,1,1,1,1,,,2,,,,,1,1,,,6,5,,,,,,,,,,,,,2,,,,,,,,,,,,,,,1,1,,,,,,,,,,,1,,,,,,,,,,,1,,,,,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,
63f5h8t5e9qm1fqmvfkb23ghh,9x5uo2wkxp9fk1arygbkl6u0a,L. Sučić,24,Substitute,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63f5h8t5e9qm1fqmvfkb23ghh,6gymgqxnu2zavuxgp6amm3zkl,D. Ćaleta-Car,16,Substitute,8,1,,,,,,,,1,,3,2,1,,,,,,1,1,1,,,,,,,,1,,,8,1,1,,1,1,,,,,,,,,1,1,1,1,1,1,,,1,2,3,0,0,0,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
agh9ifb2mw3ivjusgedj7c3fe,5f8kjgsaabn2li5r7bvpebbsa,Joan García,13,Goalkeeper,90,30,1,,2,1,3,2,5,30,2,5,2,8,,2,,,3,1,1,17,1,3,2,2,5,3,9,2,,,90,30,,,5,5,1,1,9,2,1,3,,,26,33,1,1,1,2,1,6,10,35,44,0,0,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,
agh9ifb2mw3ivjusgedj7c3fe,bzgh5psb1janz9y3btpswngbu,Alejandro Balde,3,Defender,62,16,1,18,,,,,,34,,2,1,1,,7,,,1,,,8,1,,1,1,,,1,2,2,,62,35,10,,6,6,4,,12,,,,,11,34,16,1,,12,22,,,,35,48,0,0,3,5,,,,2,,,1,,,3,,1,1,,3,3,1,,6,21,1,1,,,,,,1,,,,,14,,,,,,,1,4,,1,1,,,,,,,,,,,,,,,1,1,,1,,,,,,,3,,3,,,,,,3,,,,,,,,,,,1,,,,1,,,1,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
agh9ifb2mw3ivjusgedj7c3fe,4ggz7e009bq3yltc9o6mifbah,Eric García,24,Defender,90,43,1,16,,,,,3,59,3,5,2,7,,12,,,5,5,6,24,1,,2,2,,,12,5,2,1,90,60,6,1,7,7,5,,23,,,,,7,54,45,2,5,8,20,,1,5,65,79,0,1,6,1,,3,,,3,1,4,1,1,,,5,3,3,,,,2,1,3,,,,2,1,,,,,,,,6,4,4,2,,,2,1,1,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,1,,1,,,,,,1,,,,,,,,1,1,,,,1,,1,,,,,1,1,,,,,,,,,,,,,,,,,,,,,
agh9ifb2mw3ivjusgedj7c3fe,bkwxem45cf48k14euwqe7rs44,Pau Cubarsí,5,Defender,85,32,,8,,,,1,1,40,3,5,2,2,,7,,,5,4,,4,1,,2,2,,,22,1,1,1,85,39,1,1,1,1,3,,13,,,,,,38,33,,4,,8,,1,1,41,50,0,0,5,,,,,,3,,2,1,1,,,,,,,,1,2,,,,,,2,3,,,,,,,,2,3,3,1,,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,
agh9ifb2mw3ivjusgedj7c3fe,cscn06kwqfzo09h0dc5ybt1pl,J. Koundé,23,Defender,85,26,,34,,,,,,60,5,5,2,4,,11,,,6,4,8,24,1,,2,2,,,27,7,3,3,85,66,2,22,14,14,6,,9,,,,,17,58,27,3,4,22,41,,,2,68,92,0,2,2,6,,1,1,,5,,6,,,,,3,1,1,,,1,,7,25,2,2,1,,2,,1,2,,1,,1,8,2,2,,,,1,2,5,,1,1,2,2,,,,1,,,,,,,,,1,,,,,,,,,,,,,,,1,,,,1,,1,,,,,,,,,,,,,,,,,,1,2,,1,,,,,,,,1,1,1,1,1,1,1,,,,,,,,,,,,,
agh9ifb2mw3ivjusgedj7c3fe,4ftlhtels58lyzfluwofzwxuy,Pedri,8,Midfielder,90,20,4,56,,,,,6,76,1,5,2,10,,25,,,10,2,21,26,1,,2,2,,,21,11,11,,90,80,14,10,14,14,13,,31,,,,,32,73,22,6,2,36,62,,,8,83,110,0,3,8,,1,2,1,1,5,1,1,3,3,4,1,4,2,2,1,1,,2,,31,2,2,,1,,,,2,1,1,1,,5,2,2,,1,,5,2,4,,3,2,,,,,,2,,,,,,1,,,2,,,,,,,,,,1,,3,,,2,,,3,2,,1,,,,,5,,,,,1,,,,1,1,,,2,2,,1,,,2,,,,,,,,,,,,1,,,,,,,,,,,,
agh9ifb2mw3ivjusgedj7c3fe,ezviixcyaaj162saxs2yl27s9,F. de Jong,21,Midfielder,90,27,3,54,,,,,4,81,1,5,2,9,,23,,,5,4,18,20,1,,2,2,,,30,8,7,,90,89,10,13,10,10,12,,34,,,,,22,81,27,5,4,28,62,,,5,89,100,0,1,4,1,,,1,,3,,6,,,1,,5,1,,,,,3,1,16,,,2,1,1,,,,,,,,5,2,2,,,,4,,2,1,1,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
agh9ifb2mw3ivjusgedj7c3fe,cjll1xrw3xulnl23c9tlf6rys,Fermín López,16,Midfielder,90,11,,23,,,,,3,33,,5,2,8,,22,,,4,1,6,8,1,,2,2,,,16,3,1,,90,40,4,5,15,15,13,,14,,,,,13,31,12,5,1,20,32,,,7,42,63,0,5,7,2,,2,1,2,6,1,,,,4,1,5,3,2,2,2,,1,2,26,,,2,,,,1,3,,2,,1,4,,,,,,2,3,6,1,4,2,,,,1,1,,,1,,,,,,,2,1,,,,,,,,,1,,2,,,,,,2,1,,,,,,,1,,,1,,,,,,,,,,,3,,1,,,1,,,,,,,,,2,,,1,2,1,1,,,,,,,,,
agh9ifb2mw3ivjusgedj7c3fe,4gq1u1mqg0qzekh1u5djleeax,Dani Olmo,20,Striker,63,10,1,22,,,,,1,30,2,2,1,1,,10,,,7,3,1,7,1,,1,1,,,4,1,1,,63,31,9,3,10,10,4,,9,,,,,13,27,12,2,3,15,26,,1,2,34,57,0,1,11,,2,,,1,3,2,1,,,4,,1,1,,4,3,1,2,,34,3,3,2,1,,1,2,6,3,5,,2,14,3,3,1,3,,,6,4,,,,,,,2,2,3,1,,,,,2,,2,4,,,2,,,,,,,,,2,,1,3,,,2,2,,,3,,,1,3,,,1,,,,,,,1,,,3,1,,3,1,,2,,,,,,1,,,,2,1,2,,1,,1,1,,,,,,,
agh9ifb2mw3ivjusgedj7c3fe,2szgrzcosfeifh664tgt3mfvt,Ferran Torres,7,Striker,62,3,1,8,,,,,1,11,1,2,1,,,,,,1,,,3,1,,1,1,,,3,4,3,,62,11,3,2,4,4,,,4,,,,,5,9,3,2,,6,10,,,1,13,17,0,0,9,,,,1,,1,,1,,,,,,,,,,1,,,9,2,2,,,,,,1,1,1,1,,3,,,,1,,,1,2,,,,,,,,,1,,,,,,1,,,1,,,,,,,,,,,,,,1,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
agh9ifb2mw3ivjusgedj7c3fe,abr79wsl0folgkyvl821ggs2c,Lamine Yamal,10,Striker,90,12,3,36,,,,,3,46,,5,2,2,,36,,,15,1,6,14,1,,2,2,,,27,1,,,90,57,1,12,24,24,20,,7,,,,,28,45,13,7,1,38,51,,,6,58,95,0,6,10,,,,1,2,8,1,,,,15,,,3,,6,4,,1,,61,2,2,,1,,,2,4,,2,,2,10,,,,1,,2,5,16,,14,11,,,,2,2,2,,2,,,,1,,1,3,4,,2,,1,1,1,,,6,,7,,,2,1,,6,,,,3,,,2,3,,1,3,,1,2,,,,1,,1,,3,,3,,,1,,,,,,,,,1,,,1,1,2,2,,,1,1,1,1,,,
agh9ifb2mw3ivjusgedj7c3fe,awsod0zmnrukk21d4882ji7e1,R. Araujo,4,Substitute,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
agh9ifb2mw3ivjusgedj7c3fe,66psa7xh8odnlp39ue5vzpes4,R. Bardghji,19,Substitute,5,,,4,,,,,,4,,,,,,3,,,,,,1,,,,,,,2,,,,5,4,,2,2,2,2,,1,,,,,3,4,,,,3,6,,,,4,7,0,0,0,,,,,,,,,,,2,,,,,2,1,,,,7,,,,,,1,1,1,,,,1,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,1,,,,,,1,,,,1,,,1,,,1,1,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,1,,
agh9ifb2mw3ivjusgedj7c3fe,4et6r42e7q2ojgaumwnua2kgk,Marc Bernal,22,Substitute,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
agh9ifb2mw3ivjusgedj7c3fe,3hht0os2uzu234yq550i3fbe2,Marc Casadó,17,Substitute,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
agh9ifb2mw3ivjusgedj7c3fe,29pq64smaxdwlraopnxoleqxh,João Cancelo,2,Substitute,28,3,,11,,,,,,13,,3,1,,,7,,,3,3,5,6,,,1,1,,,6,,,1,28,16,2,6,5,5,4,,3,,,,,6,13,3,,3,9,15,,,,16,28,0,0,0,1,,1,,2,,,2,1,1,1,,,1,1,2,2,,2,1,12,1,1,,,,,,,,,,,1,1,1,,,,,,2,,1,1,,,,1,1,,,,,,,,,,,1,,,,,,,,,,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,
agh9ifb2mw3ivjusgedj7c3fe,afxjicw89683nlpms9yy5x51x,R. Lewandowski,9,Substitute,28,,,2,,,,,,2,,3,1,,,2,,,,1,,1,,,1,1,,,,1,1,,28,2,1,,2,2,1,,1,,,,,1,2,,,1,1,2,,,,2,7,0,1,0,,1,,,,2,1,,,,,,,,,,,,,,4,1,1,,,,,,2,,,,,,1,1,,1,,,2,3,1,,,,,,,,,1,,,,,1,,,2,,,,,,,,,,,,,,,,,,,1,1,1,,,,,,,,1,,,,,,,,,,1,1,,,,1,,,,,,,,,,1,1,,,1,,,,1,,,,,,,
agh9ifb2mw3ivjusgedj7c3fe,6l1y87tlepsvr83d8y2qifeqy,Gerard Martín,18,Substitute,5,2,,5,,,,,,7,,,,1,,1,,,,,1,3,,,,,,,,,,,5,9,2,,2,2,1,,5,,,,,3,7,2,,,4,7,,,,9,9,0,0,0,,1,,,,1,1,2,,,,,1,,,,,,,,3,,,,,,,,,,,,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,2,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
agh9ifb2mw3ivjusgedj7c3fe,604osk9a3lxpfpkavuziqmn6x,M. Rashford,14,Substitute,27,1,,8,,,,,,9,,3,1,,,3,,,,,,2,,,1,1,,,1,,,,27,9,1,,5,5,2,,5,,,,,5,8,2,,,5,10,,1,1,10,16,0,1,0,,,,,1,1,,,,,3,,,,,2,1,,,,13,1,1,1,,,,,1,,,,,2,,,,1,,,1,4,,1,,,,,,,2,,,,,1,,,,1,,1,,,,,,1,1,1,,1,,,2,1,,1,,,1,1,,,1,,,,,,,,,1,,,,,,,,,,1,,,,,,,,,,,1,,,,,,,,,,,,,1,1
agh9ifb2mw3ivjusgedj7c3fe,6ofu6yc2qwp5ii9cerdq1tk9h,W. Szczęsny,25,Substitute,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
agh9ifb2mw3ivjusgedj7c3fe,2e55g4q93y382cg7h0yk5rtud,M. ter Stegen,1,Substitute,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
